method,method_name,seed,best_of_n,num_eval_prompts,robust_epsilon,robust_ordinal_expected_max_mean,robust_ordinal_expected_max_se,robust_ordinal_expected_max_ci_low,robust_ordinal_expected_max_ci_high,robust_probability_any_rating_4_mean,robust_probability_any_rating_4_se,robust_probability_any_rating_4_ci_low,robust_probability_any_rating_4_ci_high,ordinal_expected_max_mean,ordinal_expected_max_se,ordinal_expected_max_ci_low,ordinal_expected_max_ci_high,probability_any_rating_4_mean,probability_any_rating_4_se,probability_any_rating_4_ci_low,probability_any_rating_4_ci_high,candidate_expected_rating_mean,candidate_rating_variance_mean,candidate_p4_mean,mean_floor,candidate_mean_violation_rate,candidate_quality_mean,candidate_quality_violation_rate,selected_expected_rating_mean,selected_mean_violation_rate,selected_p4_mean,selected_quality_mean,selected_quality_violation_rate,paired_margin_vs_reference,paired_margin_ci_low_vs_reference,paired_margin_ci_high_vs_reference,mean_response_tokens,reference_kl_final
ev_ppo,StableMax-PPO + Mean/Q,1618,32,512,0.04680826120821986,3.4199875697504787,0.02663833871632158,3.3667429050444486,3.474591039629761,0.6037402244751847,0.014117263398652094,0.5755306621093866,0.6314937658927876,3.8461684193799286,0.007759903892075701,3.830993384302838,3.8609467200577985,0.8892205301003026,0.0046144944658752995,0.8803527132363775,0.8985717410411902,0.9766652584075928,1.2770761251449585,0.13027797639369965,0.5526558456855127,0.49664306640625,-1.0321961641311646,0.39691162109375,2.2831822044918226,0.005859375,0.2916843215789413,-0.7482181787490845,0.302734375,0.03908053741182351,0.006344028988892068,0.07120291929665751,58.52838135,0.007856813245
vanilla_ppo,Mean-PPO + Q,1618,32,512,0.04680826120821986,3.3809070323386528,0.024888167124304417,3.329343497687553,3.430491351793073,0.5617505577500953,0.013869724420635486,0.5352060570161594,0.5888112827778715,3.8403256605065392,0.007189817058038745,3.8264544412595827,3.8541736697973366,0.880600797750101,0.00458031304246071,0.8716093192277274,0.8893712223392011,0.8928157091140747,1.2907010316848755,0.11196451634168625,0.5526558456855127,0.5123291015625,-1.0820692777633667,0.39080810546875,2.181262170764967,0.009765625,0.26844876023824327,-0.8935326337814331,0.32421875,0.0,0.0,0.0,62.53094482,0.04921972798
vanilla_grpo,GRPO + Q,1618,32,512,0.04680826120821986,3.553118309827646,0.020623218205098725,3.5103543701030735,3.594649994055132,0.6461174728984208,0.013768142613190136,0.6205970600593546,0.6735609069515684,3.8861978840920117,0.006023617052464847,3.8737170214416787,3.8982248705214233,0.9060811158099501,0.004404237997361371,0.897656168154676,0.9146838350306497,1.1516563892364502,1.439160943031311,0.1394684910774231,0.5526558456855127,0.346435546875,-0.8936333060264587,0.26556396484375,2.30537344073673,0.005859375,0.29056305043923203,-0.6569658517837524,0.216796875,0.17221127748898843,0.14792546789197564,0.1993626147374887,59.55023193,0.08784295031
scalar_max_ppo,Scalar Max@N-PPO + Q,1618,32,512,0.04680826120821986,3.4843692133680886,0.022242712176218843,3.4375136001943973,3.5258841610457163,0.6188643999439433,0.013648442929241165,0.5912903211525617,0.6453370082254453,3.8669251782480645,0.006309659810774189,3.8542481760602785,3.878645826079073,0.8965323375909989,0.0043428165389185844,0.8877911695969223,0.9050621138158413,1.0093791484832764,1.324791431427002,0.12980106472969055,0.5526558456855127,0.461669921875,-1.0157561302185059,0.37164306640625,2.324886041435093,0.001953125,0.2973244973400142,-0.7604672908782959,0.302734375,0.10346218102943132,0.0777906190895467,0.1307620141308604,59.34368896,0.03048528105
entropic_ppo,Entropic-PPO + Q,1618,32,512,0.04680826120821986,3.361949522264141,0.025966267704144893,3.3111900207704625,3.413569412021692,0.5613461820634328,0.013714899289719733,0.5348464482864266,0.5889292220568472,3.8319271816277944,0.00770059471514227,3.816894603924494,3.846371993331177,0.8782504128858138,0.004548125691816293,0.8690585263208656,0.887009319007554,0.8367406725883484,1.2489506006240845,0.10684263706207275,0.5526558456855127,0.55059814453125,-1.1041289567947388,0.4251708984375,2.208341982204729,0.0078125,0.27497260669770185,-0.8502987027168274,0.330078125,-0.018957510074517275,-0.047599393228717146,0.007818046711943258,62.36499023,0.02675169986
nominal_ev_ppo,Nominal Ordinal EV-PPO + Mean/Q,1618,32,512,0.04680826120821986,3.459870543168776,0.02687637094582095,3.4078891925011283,3.510423621345316,0.6283278118533662,0.01429257584921119,0.6007779456619221,0.6565125139624082,3.8590982551405117,0.0077293144996799035,3.844211840764934,3.874420590243346,0.8982756130102101,0.004536190889698122,0.8884885833037043,0.9067194171696601,1.0746886730194092,1.3350908756256104,0.1413763016462326,0.5526558456855127,0.4453125,-0.9488200545310974,0.32537841796875,2.2906326190568507,0.009765625,0.29676917190954555,-0.6621679067611694,0.24609375,0.0789635108301203,0.0490216609002067,0.10639625142999051,56.28790283,0.01449646526
ev_ppo_no_mean,StableMax-PPO (no mean floor),1618,32,512,0.04680826120821986,3.5339884994912074,0.02307493857855889,3.486531208842252,3.5785506583619644,0.6547475348450379,0.01369002474656421,0.6291771076931957,0.6824585896211159,3.8812445865706247,0.006462441478081672,3.8683166954943053,3.8935240061620853,0.9080371261732278,0.004244130680947088,0.8992792855781828,0.916462503938524,1.134247064590454,1.3794269561767578,0.14718233048915863,0.5526558456855127,0.403076171875,-0.9129996299743652,0.30108642578125,2.3379203264448734,0.01171875,0.3039469982177252,-0.6521409749984741,0.251953125,0.1530814671525519,0.12345431594493274,0.18131886877836714,56.40527344,0.03413795913
ev_ppo_no_quality,StableMax-PPO (no Q),1618,32,512,0.04680826120821986,3.4020215279596875,0.026726610022171582,3.3484047725931076,3.4538142657857396,0.5936420056426424,0.014008254526245715,0.5673351771854469,0.6202297640352818,3.842059378398101,0.007762591412212779,3.82638010010907,3.8566707255104475,0.8865722591242711,0.004598009450479222,0.8776056583278784,0.8957397210514554,0.954821765422821,1.2657581567764282,0.12834709882736206,0.5526558456855127,0.50921630859375,-1.0506811141967773,0.40771484375,2.2702794993274438,0.01171875,0.2928171991807176,-0.7903168201446533,0.322265625,0.021114495621030373,-0.00645777666770991,0.048912504241607244,59.21307373,0.008842868869
gaussian_ev_ppo,Gaussian EV-PPO + Q,1618,32,512,0.04680826120821986,3.5536215393857473,0.02125513249026764,3.511949738932044,3.5935087092482583,0.6562287401071016,0.013688082040265661,0.6284941738971415,0.6830836613063267,3.8873463546496825,0.006008936119748388,3.8756864330172007,3.8991263285674354,0.909406346755232,0.004259246253038816,0.9011054799343836,0.9173619695934971,1.1521953344345093,1.4101364612579346,0.14581680297851562,0.5526558456855127,0.3780517578125,-0.9298108220100403,0.29693603515625,2.3430088024970246,0.00390625,0.3026237699959893,-0.6660376787185669,0.212890625,0.17271450704709027,0.14551474751167637,0.20004771574070676,58.56658936,0.06201303524
top4_ppo,Top-4 PPO + Q,1618,32,512,0.04680826120821986,3.3732802657828582,0.02872736306783223,3.3154136869811603,3.428882420060612,0.590676639242566,0.014559576134527704,0.5622914259118368,0.6193790222855982,3.83315303737115,0.008441531043607722,3.8166844171355807,3.849887954701397,0.8846274398154175,0.004839347573408665,0.8753045867337561,0.8944135135903113,0.9441462755203247,1.2614718675613403,0.12947310507297516,0.5526558456855127,0.52349853515625,-1.030845284461975,0.39190673828125,2.2537852339810343,0.013671875,0.2942543828394264,-0.7435572743415833,0.302734375,-0.007626766555800335,-0.039608762606896435,0.024428089580303264,58.58532715,0.006431714188
